일시,부산 강서구 녹산동,부산 강서구 대저동,부산 강서구 명지동,부산 금정구 부곡동,부산 금정구 청룡동,부산 금정구 회동동,부산 기장군 기장읍,부산 기장군 용수리,부산 남구 대연동,부산 남구 용호동,부산 동구 수정동,부산 동래구 명장동,부산 부산진구 개금동,부산 부산진구 전포동,부산 북구 덕천동,부산 북구 화명동,부산 사상구 덕포동,부산 사상구 학장동,부산 사하구 당리동,부산 사하구 장림동,부산 서구 대신동,부산 수영구 광안동,부산 연제구 연산동,부산 영도구 청학동,부산 영도구 태종대,부산 중구 광복동,부산 해운대구 재송동,부산 해운대구 좌동,부산 강서구 부산신항,부산 동구 부산북항,부산 동구 초량동,부산 동래구 온천동,부산 사상구 삼락동,부산 강서구 부산항
2022-06-01 00:01:00,19,24.0,21.0,27.0,20,17.0,23,21,21,18,14,23,29,2,27.0,30,22,24,18.0,22,20,27.0,25,12,13,18.0,13,29.0,32.0,16,23,32,20,29
2022-06-01 00:02:00,43,19.0,18.0,33.0,22,18.0,22,21,21,15,14,23,20,12,32.0,25,18,23,15.0,22,22,23.0,20,18,14,19.0,20,23.0,26.0,20,20,32,17,27
2022-06-01 00:03:00,29,15.0,21.0,30.0,17,16.0,18,18,23,17,16,23,26,17,19.0,17,22,24,15.0,20,22,28.0,18,16,15,19.0,20,25.0,31.0,18,21,25,22,42
2022-06-01 00:04:00,26,22.0,27.0,23.0,16,17.0,23,20,21,17,12,22,24,17,30.0,16,28,28,24.0,23,19,24.0,19,16,24,22.0,19,25.0,34.0,25,19,18,25,29
2022-06-01 00:05:00,20,21.0,28.0,20.0,15,17.0,18,18,22,19,28,26,22,19,26.0,17,30,36,25.0,24,29,21.0,24,16,25,19.0,13,22.0,29.0,34,22,25,26,28
2022-06-01 00:06:00,29,19.0,28.0,22.0,17,18.0,19,16,21,21,22,25,27,18,20.0,18,23,28,22.0,27,26,24.0,24,17,23,22.0,17,26.0,25.0,25,24,26,24,55
2022-06-01 00:07:00,35,26.0,28.0,26.0,16,12.0,21,21,25,21,23,29,27,28,30.0,22,45,43,20.0,27,22,35.0,22,20,29,28.0,16,27.0,23.0,34,27,21,31,59
2022-06-01 00:08:00,32,27.0,26.0,25.0,22,18.0,29,27,29,24,26,37,38,16,30.0,27,30,62,32.0,46,28,32.0,17,19,28,29.0,37,27.0,27.0,35,24,28,30,48
2022-06-01 00:09:00,43,32.0,31.0,28.0,31,13.0,28,27,29,23,28,28,40,44,40.0,26,34,50,41.0,66,22,37.0,29,17,18,34.0,41,30.0,35.0,50,35,34,36,53
2022-06-01 00:10:00,40,35.0,42.0,24.0,26,27.0,22,26,36,41,50,27,47,48,36.0,27,36,47,46.0,51,17,34.0,27,24,22,48.0,33,29.0,47.0,42,35,30,34,46
2022-06-01 00:11:00,44,24.0,34.0,31.0,21,22.0,29,17,25,27,68,30,37,56,35.0,33,35,45,29.0,40,33,42.0,26,19,33,58.0,26,32.0,46.0,38,49,42,28,34
2022-06-01 00:12:00,40,24.0,36.0,31.0,20,23.0,23,23,34,25,50,29,34,27,24.0,23,23,37,36.0,46,39,31.0,27,33,19,36.0,29,25.0,45.0,41,45,35,27,33
2022-06-01 00:13:00,41,25.0,33.0,32.0,25,25.0,29,23,25,23,45,32,27,7,30.0,32,32,45,35.0,30,32,21.0,23,30,19,28.0,25,22.0,35.0,28,39,43,25,27
2022-06-01 00:14:00,24,18.0,23.0,20.0,34,19.0,22,21,18,17,36,27,30,47,35.0,40,21,54,28.0,29,26,25.0,26,24,18,26.0,21,23.0,16.0,26,28,36,16,35
2022-06-01 00:15:00,20,19.0,19.0,25.0,29,20.0,23,25,21,17,28,21,25,23,32.0,41,27,34,24.0,29,23,27.0,20,26,18,23.0,21,24.0,18.0,23,21,30,22,29
2022-06-01 00:16:00,21,24.0,15.0,29.0,24,17.0,24,11,16,11,28,24,19,13,23.0,33,22,19,19.0,23,13,35.0,22,18,13,24.0,18,16.0,14.0,22,27,30,25,28
2022-06-01 00:17:00,27,20.0,20.0,21.0,22,14.0,26,12,14,12,26,22,18,2,24.0,34,21,34,24.0,20,15,36.0,16,16,15,21.0,15,22.0,14.0,17,18,27,24,32
2022-06-01 00:18:00,31,15.0,26.0,20.0,24,16.0,22,16,24,15,43,21,16,19,19.0,28,26,35,26.0,22,22,38.0,17,20,9,23.0,17,23.0,17.0,23,20,22,17,40
2022-06-01 00:19:00,27,22.0,28.0,25.0,17,19.0,19,17,23,17,28,12,19,22,30.0,34,26,29,22.0,28,24,27.0,22,22,15,25.0,21,22.0,23.0,19,22,28,26,36
2022-06-01 00:20:00,27,22.0,24.0,26.0,23,17.0,16,18,22,21,24,23,28,32,31.0,33,24,21,21.0,22,26,20.0,23,20,19,28.0,21,28.0,28.0,27,27,36,21,31
2022-06-01 00:21:00,21,20.0,23.0,30.0,22,18.0,29,20,24,17,2,19,23,29,23.0,27,23,25,20.0,23,29,22.0,22,17,19,32.0,25,24.0,31.0,26,24,27,24,28
2022-06-01 00:22:00,22,19.0,23.0,25.0,21,19.0,24,23,23,20,19,20,27,21,25.0,25,24,23,21.0,22,26,22.0,17,18,17,18.0,17,29.0,23.0,20,26,27,20,29
2022-06-01 00:23:00,35,19.0,23.0,25.0,18,20.0,23,20,13,14,22,18,20,18,25.0,20,21,23,24.0,22,23,17.0,23,20,53,15.0,17,23.0,27.0,23,26,27,23,27
