부산광역시 강서구,부산광역시 금정구,부산광역시 기장군,부산광역시 남구,부산광역시 동구,부산광역시 동래구,부산광역시 부산진구,부산광역시 북구,부산광역시 사상구,부산광역시 사하구,부산광역시 서구,부산광역시 수영구,부산광역시 연제구,부산광역시 영도구,부산광역시 중구,부산광역시 해운대구
25.0,21.33333333333333,22.0,19.5,17.666666666666668,27.5,15.5,28.5,22.0,20.0,20.0,27.0,25.0,12.5,18.0,21.0
26.6,24.33333333333333,21.5,18.0,18.0,27.5,16.0,28.5,19.33333333333333,18.5,22.0,23.0,20.0,16.0,19.0,21.5
27.6,21.0,18.0,20.0,18.33333333333333,24.0,21.5,18.0,22.666666666666668,17.5,22.0,28.0,18.0,15.5,19.0,22.5
27.6,18.666666666666668,21.5,19.0,18.666666666666668,20.0,20.5,23.0,27.0,23.5,19.0,24.0,19.0,20.0,22.0,22.0
25.2,17.333333333333332,18.0,20.5,28.0,25.5,20.5,21.5,30.666666666666668,24.5,29.0,21.0,24.0,20.5,19.0,17.5
31.2,19.0,17.5,21.0,23.666666666666668,25.5,22.5,19.0,25.0,24.5,26.0,24.0,24.0,20.0,22.0,21.5
34.2,18.0,21.0,23.0,28.0,25.0,27.5,26.0,39.66666666666666,23.5,22.0,35.0,22.0,24.5,28.0,21.5
32.0,21.666666666666668,28.0,26.5,28.33333333333333,32.5,27.0,28.5,40.66666666666666,39.0,28.0,32.0,17.0,23.5,29.0,32.0
38.8,24.0,27.5,26.0,37.66666666666666,31.0,42.0,33.0,40.0,53.5,22.0,37.0,29.0,17.5,34.0,35.5
42.0,25.666666666666668,24.0,38.5,42.333333333333336,28.5,47.5,31.5,39.0,48.5,17.0,34.0,27.0,23.0,48.0,31.0
36.4,24.666666666666668,23.0,26.0,51.66666666666666,36.0,46.5,34.0,36.0,34.5,33.0,42.0,26.0,26.0,58.0,29.0
35.6,24.666666666666668,23.0,29.5,45.333333333333336,32.0,30.5,23.5,29.0,41.0,39.0,31.0,27.0,26.0,36.0,27.0
32.2,27.33333333333333,26.0,24.0,37.333333333333336,37.5,17.0,31.0,34.0,32.5,32.0,21.0,23.0,24.5,28.0,23.5
23.2,24.33333333333333,21.5,17.5,30.0,31.5,38.5,37.5,30.33333333333333,28.5,26.0,25.0,26.0,21.0,26.0,22.0
21.0,24.666666666666668,24.0,19.0,24.0,25.5,24.0,36.5,27.666666666666668,26.5,23.0,27.0,20.0,22.0,23.0,22.5
20.4,23.33333333333333,17.5,13.5,25.666666666666668,27.0,16.0,28.0,22.0,21.0,13.0,35.0,22.0,15.5,24.0,17.0
22.6,19.0,19.0,13.0,20.33333333333333,24.5,10.0,29.0,26.33333333333333,22.0,15.0,36.0,16.0,15.5,21.0,18.5
25.8,20.0,19.0,19.5,28.666666666666668,21.5,17.5,23.5,26.0,24.0,22.0,38.0,17.0,14.5,23.0,20.0
27.2,20.33333333333333,18.0,20.0,23.0,20.0,20.5,32.0,27.0,25.0,24.0,27.0,22.0,18.5,25.0,21.5
26.4,22.0,17.0,21.5,26.0,29.5,30.0,32.0,22.0,21.5,26.0,20.0,23.0,19.5,28.0,24.5
24.6,23.33333333333333,24.5,20.5,17.333333333333332,23.0,26.0,25.0,24.0,21.5,29.0,22.0,22.0,18.0,32.0,24.5
23.2,21.666666666666668,23.5,21.5,21.666666666666668,23.5,24.0,25.0,22.33333333333333,21.5,26.0,22.0,17.0,17.5,18.0,23.0
26.2,21.0,21.5,13.5,23.666666666666668,22.5,19.0,22.5,22.33333333333333,23.0,23.0,17.0,23.0,36.5,15.0,20.0
21.0,18.0,21.0,18.5,22.0,22.0,24.5,24.0,23.33333333333333,23.0,21.0,21.0,24.0,20.5,23.0,21.5
22.2,16.333333333333332,21.5,23.0,18.0,17.5,25.5,19.0,24.33333333333333,23.0,17.0,22.0,19.0,18.5,27.0,21.5
22.6,17.0,16.5,20.0,16.0,16.5,25.5,21.5,18.33333333333333,24.0,16.0,22.0,17.0,19.0,23.0,19.0
23.0,13.333333333333334,13.5,20.5,15.333333333333334,19.0,32.5,15.5,21.666666666666668,21.0,16.0,17.0,18.0,18.5,20.0,22.5
22.0,14.0,19.5,15.0,13.333333333333334,18.5,20.0,15.5,22.33333333333333,20.0,22.0,16.0,16.0,14.0,24.0,20.0
16.2,13.666666666666666,15.5,17.5,14.666666666666666,14.5,17.5,17.5,19.666666666666668,25.0,22.0,20.0,15.0,18.5,21.0,18.0
25.6,13.666666666666666,16.5,16.0,16.666666666666668,20.0,14.0,19.5,24.0,23.0,15.0,16.0,12.0,21.0,21.0,18.5
27.2,16.333333333333332,17.5,17.5,21.0,21.5,19.5,21.5,34.666666666666664,26.5,23.0,19.0,22.0,18.0,19.0,21.5
31.4,17.666666666666668,21.0,26.5,22.0,22.5,24.0,23.0,32.666666666666664,24.5,17.0,18.0,20.0,16.5,25.0,21.5
26.0,24.33333333333333,18.0,26.0,21.666666666666668,26.0,33.0,27.5,35.333333333333336,21.0,20.0,33.0,26.0,17.0,26.0,25.5
23.6,33.0,19.5,22.0,24.666666666666668,26.0,29.5,31.0,37.333333333333336,25.0,26.0,37.0,22.0,18.5,32.0,24.5
21.4,44.333333333333336,25.5,23.5,34.333333333333336,29.5,24.0,31.0,34.666666666666664,26.5,30.0,50.0,20.0,13.5,38.0,22.0
31.4,30.0,27.0,25.5,30.666666666666668,31.0,35.0,30.5,33.333333333333336,26.0,33.0,47.0,0.0,20.5,34.0,22.0
25.6,31.666666666666668,28.0,23.0,31.666666666666668,33.0,34.0,30.0,37.66666666666666,30.5,36.0,64.0,0.0,18.5,31.0,26.5
23.4,31.33333333333333,24.0,24.5,18.33333333333333,29.0,23.0,34.0,40.0,26.0,25.0,35.0,32.0,21.0,29.0,26.0
27.4,36.333333333333336,29.5,37.0,12.0,32.5,32.5,28.0,42.333333333333336,30.0,32.0,69.0,26.0,17.0,29.0,26.0
26.6,45.66666666666666,34.0,28.0,9.0,39.0,26.5,30.0,46.66666666666666,28.0,24.0,55.0,25.0,20.0,37.0,24.5
23.0,32.666666666666664,31.0,23.5,20.666666666666668,32.0,11.5,35.0,41.0,30.0,25.0,50.0,24.0,22.5,29.0,21.5
27.6,23.666666666666668,24.5,23.5,33.0,31.0,13.0,29.5,36.0,26.5,38.0,43.0,31.0,19.0,26.0,26.0
28.0,27.33333333333333,27.0,23.0,20.666666666666668,32.0,26.5,25.5,33.0,26.0,30.0,20.0,25.0,19.5,21.0,24.5
27.0,24.0,24.0,23.0,19.666666666666668,31.5,30.5,30.0,30.666666666666668,24.5,27.0,24.0,24.0,18.5,23.0,24.0
27.4,22.33333333333333,20.5,23.0,11.666666666666666,30.5,28.5,31.0,26.0,27.5,25.0,23.0,22.0,17.0,24.0,27.5
23.2,24.0,24.0,22.5,11.0,30.5,29.0,24.5,26.666666666666668,29.0,23.0,24.0,27.0,17.5,27.0,25.5
18.4,22.0,26.5,25.0,17.333333333333332,22.5,22.5,22.5,23.33333333333333,22.5,27.0,35.0,24.0,17.5,27.0,26.5
19.8,24.666666666666668,20.0,22.5,12.333333333333334,25.0,16.5,18.5,24.0,22.5,18.0,27.0,16.0,19.5,22.0,22.0
20.0,22.33333333333333,24.0,26.0,15.0,19.0,18.5,21.0,20.666666666666668,19.0,19.0,26.0,16.0,15.0,24.0,22.5
28.2,23.666666666666668,24.0,22.5,16.0,23.0,19.0,20.5,24.666666666666668,18.5,18.0,31.0,22.0,18.0,20.0,21.5
27.8,23.33333333333333,27.0,20.0,14.666666666666666,22.5,19.0,19.0,23.666666666666668,23.5,24.0,20.0,24.0,18.0,20.0,24.0
21.4,20.666666666666668,23.0,20.5,16.666666666666668,25.5,25.0,29.0,29.666666666666668,27.5,32.0,27.0,23.0,21.5,27.0,25.0
29.2,20.33333333333333,24.0,26.0,23.0,29.0,30.0,26.0,33.333333333333336,30.5,32.0,26.0,30.0,20.5,21.0,27.0
32.4,23.0,24.5,27.5,23.33333333333333,29.5,33.0,27.0,34.0,31.5,35.0,33.0,32.0,23.5,24.0,29.5
35.8,24.33333333333333,28.5,33.0,25.0,31.0,35.0,30.0,36.0,32.5,34.0,28.0,28.0,27.0,32.0,28.0
39.0,24.666666666666668,29.0,37.5,16.666666666666668,37.5,39.0,34.0,50.0,41.5,34.0,35.0,36.0,31.5,39.0,38.0
34.6,30.33333333333333,30.5,40.0,20.666666666666668,40.5,41.5,35.5,45.333333333333336,53.5,43.0,34.0,37.0,36.5,51.0,34.5
40.0,37.333333333333336,36.5,41.5,36.0,41.5,29.0,42.0,48.0,68.5,54.0,43.0,39.0,36.5,60.0,39.5
39.8,35.333333333333336,41.5,33.5,15.333333333333334,40.0,36.0,43.0,50.66666666666666,48.5,45.0,38.0,48.0,30.5,44.0,41.5
34.8,47.66666666666666,48.0,36.0,37.333333333333336,51.0,46.5,41.0,49.0,48.5,45.0,57.0,43.0,34.0,45.0,42.5
49.4,47.333333333333336,45.5,41.0,35.333333333333336,44.5,64.5,53.0,54.66666666666666,50.5,48.0,44.0,47.0,39.0,50.0,42.0
49.2,41.0,41.0,36.5,34.666666666666664,44.5,38.0,51.5,62.66666666666666,51.0,50.0,43.0,39.0,31.0,43.0,36.5
48.4,36.66666666666666,38.0,30.0,36.333333333333336,36.0,37.5,39.0,48.333333333333336,60.5,43.0,38.0,43.0,30.5,33.0,34.5
45.2,32.333333333333336,35.0,32.5,51.66666666666666,32.5,44.5,34.0,45.333333333333336,50.5,40.0,31.0,35.0,29.0,32.0,32.0
41.0,25.666666666666668,29.0,26.0,44.0,30.0,21.5,37.0,40.333333333333336,50.5,37.0,28.0,28.0,27.0,31.0,27.0
36.4,24.33333333333333,28.5,26.0,36.66666666666666,31.5,25.5,29.5,32.666666666666664,47.0,34.0,27.0,32.0,24.0,26.0,28.5
36.2,31.33333333333333,33.5,22.0,36.333333333333336,27.5,31.0,28.5,31.0,30.0,34.0,27.0,27.0,27.5,26.0,28.5
35.0,32.0,28.5,29.0,37.0,34.5,29.0,31.0,32.0,35.0,35.0,31.0,28.0,25.5,32.0,33.5
33.0,25.666666666666668,28.0,25.0,36.0,38.0,34.0,35.0,30.33333333333333,30.5,35.0,29.0,37.0,25.5,28.0,31.5
