구분(4),구분(1)_x,구분(2)_x,구분(3)_x,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,구분(1)_y,구분(2)_y,구분(3)_y,2011.01,2011.02,2011.03,2011.04,2011.05,2011.06,2011.07,2011.08,2011.09,2011.10,2011.11,2011.12
3공단,도시대기,경북,포항,55,55,60,48,53,36,26,28,28,35,47,40,도시대기,경북,포항,43,69,71,60,69,47,35,29,39,52,56,46
4공단,도시대기,경북,구미,81,75,74,47,48,34,38,35,28,38,49,52,도시대기,경북,구미,-,69,59,49,55,40,20,17,25,46,51,56
가야읍,도시대기,경남,함안,50,50,47,38,42,35,28,30,30,34,42,37,,,,,,,,,,,,,,,
가음정동,,,,,,,,,,,,,,,,도시대기,경남,창원,42,73,64,57,76,51,36,32,33,50,53,51
가평읍,도시대기,경기,가평,58,45,50,28,32,20,19,20,16,26,35,38,도시대기,경기,가평,-,70,68,54,60,36,23,18,22,36,39,52
가흥동,도시대기,경북,영주,-,-,-,-,-,-,-,-,-,47,64,66*,,,,,,,,,,,,,,,
간성읍,교외대기,강원,고성,43*,-,-,-,40,19,17,19,16,26,32,30,교외대기,강원,고성,28,41,48,-,-,-,-,-,16,29,29,29
갈산동,,,,,,,,,,,,,,,,도시대기,대구,달서구,48,63,57,52,62,48,31,-,37,47,50,46
강남구,도시대기,서울,강남구,61,54,64,34,43,24,29,29,24*,33,44,43,,,,,,,,,,,,,,,
강남대로,도로변대기,서울,서울,50,65,79,56,64,35,25,21,20,24*,50**,47,,,,,,,,,,,,,,,
강동구,도시대기,서울,강동구,65,58,67,37,47,26,26,22,19,34,54,48,,,,,,,,,,,,,,,
강변북로,도로변대기,서울,서울,48,63,76,50,64,34,26,23,22,30,39**,48**,도로변대기,서울,서울,55,95,82,83,96,66,44,38,34,48,43,52
강북구,도시대기,서울,강북구,71,62,73,39,52,30,31,32,26,36,41,46,,,,,,,,,,,,,,,
강서구,도시대기,서울,강서구,76,65,79,42,53,27,28,27,24,36,48,52,,,,,,,,,,,,,,,
강진읍,도시대기,전남,강진,-,-,-,-,-,28,23,28,22,25,28,26,,,,,,,,,,,,,,,
개금동,도시대기,부산,부산진구,-,-,-,-,-,-,21,26,22,27,36,41,,,,,,,,,,,,,,,
개정동,도시대기,전북,군산,59,59,71,42,59,40,30,31,26,34,45,37,도시대기,전북,군산,42,72,64,63,83,47,28,28,30,45,46,44
거창읍,도시대기,경남,거창,50,56,60,41,45,35,26,28,24,30,40,37,,,,,,,,,,,,,,,
건국동,도시대기,광주,북구,50,56,68,47,55,46,34,36,30,39,41,30,도시대기,광주,북구,39,67,61,54,64,49,30,28,32,45,39,38
검단,도시대기,인천,서구,72,61,74,45,56,32,37,33,29,42,49,45,도시대기,인천,서구,54,87,75,65,88,61,43,44,44,61,58,63
