지역,미세먼지(PM-10) 배출량 평균
강원도 강릉시,4272.476143874345
강원도 고성군,2971.059849402985
강원도 동해시,3948.6132594350283
강원도 삼척시,3862.2892800675677
강원도 속초시,1214.1626003703707
강원도 양구군,1535.3842502459017
강원도 양양군,2757.56890379562
강원도 영월군,5927.230996891893
강원도 원주시,6002.645831798944
강원도 인제군,2928.7406723999998
강원도 정선군,3117.241580647482
강원도 철원군,3361.3300510294125
강원도 춘천시,3486.0569780116953
강원도 태백시,643.920349527559
강원도 평창군,3255.8962922818782
강원도 홍천군,4917.370336666667
강원도 화천군,1787.0630356000006
강원도 횡성군,5416.26315786207
경기도 가평군,2614.367636516129
경기도 고양시,3304.3922444219043
경기도 과천시,995.1022992424246
경기도 광명시,1590.4076928301893
경기도 광주시,5977.818846263737
경기도 구리시,1414.622126071429
경기도 군포시,1285.1231936486488
경기도 김포시,6330.041188085105
경기도 남양주시,8232.775048202246
경기도 동두천시,1181.5628191071435
경기도 부천시,5678.387485
경기도 성남시,2726.3371661297533
경기도 수원시,2210.767615979898
경기도 시흥시,5011.277987386364
경기도 안산시,4074.4020119060806
경기도 안성시,6891.268397595631
경기도 안양시,1914.5798916831689
경기도 양주시,4676.47692093458
경기도 양평군,4018.614511741934
경기도 여주시,4737.437422722224
경기도 연천군,2849.1613743636362
경기도 오산시,2123.1582804458603
경기도 용인시,3361.80941022181
경기도 의왕시,1233.802315973154
경기도 의정부시,2835.9635087248325
경기도 이천시,8124.5522811797755
경기도 파주시,7847.767672864579
경기도 평택시,9964.282496933962
경기도 포천시,4858.932059663462
경기도 하남시,4102.0232294230755
경기도 화성시,14607.142447101445
경상남도 거제시,2224.4552939673904
경상남도 거창군,3246.2429740490797
경상남도 고성군,4515.538959349115
경상남도 김해시,4600.056048833332
경상남도 남해군,1997.8735542635661
경상남도 밀양시,3216.5176667777782
경상남도 사천시,1953.7434164893614
경상남도 산청군,3228.3852054609915
경상남도 양산시,3205.065764365482
경상남도 의령군,2059.339314861112
경상남도 진주시,3606.78051469697
경상남도 창녕군,4251.735532774567
경상남도 창원시,1553.297785924489
경상남도 통영시,1176.2135462576687
경상남도 하동군,4616.003645259742
경상남도 함안군,4245.666157664974
경상남도 함양군,3172.969598391609
경상남도 합천군,4670.59542680851
경상북도 경산시,3611.4823749760776
경상북도 경주시,6377.6217801522835
경상북도 고령군,1945.7248391489359
경상북도 구미시,14624.613321133003
경상북도 군위군,2441.026997615894
경상북도 김천시,5014.475784973546
경상북도 문경시,4336.489319863947
경상북도 봉화군,3010.398408910257
경상북도 상주시,7162.968986069363
