pred_jin,미세먼지 지수,외출지수
0.496162,측정 중,나쁨
0.52721936,측정 중,나쁨
0.5503175,측정 중,매우 나쁨
0.45911363,측정 중,나쁨
0.4828237,측정 중,나쁨
0.42036667,측정 중,나쁨
0.3876736,측정 중,나쁨
0.3566493,측정 중,나쁨
0.4059559,측정 중,나쁨
0.43629268,측정 중,나쁨
0.3980557,측정 중,나쁨
0.220943,측정 중,나쁨
0.13614266,측정 중,좋음
0.09778146,측정 중,좋음
0.08776264,측정 중,좋음
0.10466899,측정 중,좋음
0.099861704,측정 중,좋음
0.123878635,측정 중,좋음
0.12448814,측정 중,좋음
0.0887775,측정 중,좋음
0.1421055,측정 중,좋음
0.21965943,측정 중,나쁨
0.285999,측정 중,나쁨
0.36425096,측정 중,나쁨
0.4234961,측정 중,나쁨
0.43350244,측정 중,나쁨
0.49049,측정 중,나쁨
0.5144038,측정 중,나쁨
0.54967195,측정 중,매우 나쁨
0.5197181,측정 중,나쁨
0.43649966,측정 중,나쁨
0.45494482,측정 중,나쁨
0.46420255,측정 중,나쁨
0.42064142,측정 중,나쁨
0.3967923,측정 중,나쁨
0.4036619,측정 중,나쁨
0.4683332,측정 중,나쁨
0.44577557,측정 중,나쁨
0.4650063,측정 중,나쁨
0.53151184,측정 중,나쁨
0.46739578,측정 중,나쁨
0.5049077,측정 중,나쁨
0.5391983,측정 중,매우 나쁨
0.5607302,측정 중,매우 나쁨
0.53219545,측정 중,나쁨
0.5059986,측정 중,나쁨
0.38825196,측정 중,나쁨
0.31664592,측정 중,나쁨
0.27205455,측정 중,나쁨
0.28502327,측정 중,나쁨
0.32826188,측정 중,나쁨
0.33456883,측정 중,나쁨
0.19695763,측정 중,좋음
0.080874175,측정 중,좋음
0.1537895,측정 중,좋음
0.18294677,측정 중,좋음
0.17286919,측정 중,좋음
0.16630901,측정 중,좋음
0.18684183,측정 중,좋음
0.17269264,측정 중,좋음
0.18434724,측정 중,좋음
0.22252731,측정 중,나쁨
0.23526289,측정 중,나쁨
0.22918187,측정 중,나쁨
0.14918481,측정 중,좋음
0.09571094,측정 중,좋음
0.10005336,측정 중,좋음
0.1193225,측정 중,좋음
0.17527767,측정 중,좋음
0.25529262,측정 중,나쁨
0.32254618,측정 중,나쁨
0.2277293,측정 중,나쁨
0.18190764,측정 중,좋음
0.23269153,측정 중,나쁨
0.16076978,측정 중,좋음
0.12999938,측정 중,좋음
0.14132567,측정 중,좋음
0.09300154,측정 중,좋음
0.07197976,측정 중,좋음
0.07704022,측정 중,좋음
0.070193686,측정 중,좋음
0.07090518,측정 중,좋음
0.07745393,측정 중,좋음
0.053889215,측정 중,좋음
0.047974955,측정 중,좋음
0.076424174,측정 중,좋음
0.097215764,측정 중,좋음
0.1431724,측정 중,좋음
0.1138045,측정 중,좋음
0.18336158,측정 중,좋음
0.2304069,측정 중,나쁨
0.2769307,측정 중,나쁨
0.22304317,측정 중,나쁨
0.22498457,측정 중,나쁨
0.22376965,측정 중,나쁨
0.20475613,측정 중,나쁨
0.26415962,측정 중,나쁨
0.26016077,측정 중,나쁨
0.24813683,측정 중,나쁨
0.2544398,측정 중,나쁨
0.25666454,측정 중,나쁨
0.21553667,측정 중,나쁨
0.20344125,측정 중,나쁨
0.21520267,측정 중,나쁨
0.19887142,측정 중,좋음
0.18269973,측정 중,좋음
0.22175513,측정 중,나쁨
0.26270095,측정 중,나쁨
0.20859006,측정 중,나쁨
0.22422926,측정 중,나쁨
0.19829543,측정 중,좋음
0.23343202,측정 중,나쁨
0.30517787,측정 중,나쁨
0.19845521,측정 중,좋음
0.32514644,측정 중,나쁨
0.26113957,측정 중,나쁨
0.26664168,측정 중,나쁨
0.33313727,측정 중,나쁨
0.30133054,측정 중,나쁨
0.21437392,측정 중,나쁨
0.17314398,측정 중,좋음
0.20916508,측정 중,나쁨
0.22322346,측정 중,나쁨
0.22145745,측정 중,나쁨
0.24069217,측정 중,나쁨
0.19329403,측정 중,좋음
0.22312869,측정 중,나쁨
0.19392453,측정 중,좋음
0.19549406,측정 중,좋음
0.22575136,측정 중,나쁨
0.20282939,측정 중,나쁨
0.17423446,측정 중,좋음
0.21231999,측정 중,나쁨
0.24495445,측정 중,나쁨
0.33069187,측정 중,나쁨
0.27294242,측정 중,나쁨
0.3317049,측정 중,나쁨
0.25797045,측정 중,나쁨
0.25066122,측정 중,나쁨
0.23893239,측정 중,나쁨
0.19388436,측정 중,좋음
0.24589148,측정 중,나쁨
0.27265635,측정 중,나쁨
0.1872286,측정 중,좋음
0.24103267,측정 중,나쁨
0.23592478,측정 중,나쁨
0.21425387,측정 중,나쁨
0.18295261,측정 중,좋음
0.20800853,측정 중,나쁨
0.19985126,측정 중,좋음
0.2178963,측정 중,나쁨
0.16751634,측정 중,좋음
0.1681272,측정 중,좋음
0.20765086,측정 중,나쁨
0.19887494,측정 중,좋음
0.1400913,측정 중,좋음
0.14150149,측정 중,좋음
0.17305113,측정 중,좋음
0.21944655,측정 중,나쁨
0.19286373,측정 중,좋음
0.15970407,측정 중,좋음
0.19953074,측정 중,좋음
0.31518883,측정 중,나쁨
0.20626412,측정 중,나쁨
0.17544448,측정 중,좋음
0.48345882,측정 중,나쁨
0.29291314,측정 중,나쁨
0.23229766,측정 중,나쁨
0.25848287,측정 중,나쁨
0.2954109,측정 중,나쁨
0.28655422,측정 중,나쁨
