address,시도,x,y,군구,m01avg,m02avg,m03avg,m04avg,m05avg,m06avg,m07avg,m08avg,m09avg,m10avg,m11avg,m12avg,year_avg
강원도 강릉시,강원도,11,4,강릉시,48.0,51.0,62.0,51.0,51.0,45.0,33.0,35.0,26.0,31.0,57.0,52.0,45.0
강원도 동해시,강원도,11,5,동해시,47.0,50.0,74.0,56.0,56.0,38.0,30.0,31.0,21.0,25.0,51.0,43.0,44.0
강원도 삼척시,강원도,11,8,삼척시,43.0,43.0,63.0,48.0,52.0,42.0,32.0,30.0,23.0,31.0,57.0,50.0,43.0
강원도 원주시,강원도,10,7,원주시,84.0,69.0,76.0,67.0,70.0,56.0,35.0,31.0,26.0,50.0,82.0,77.0,60.0
강원도 춘천시,강원도,10,3,춘천시,67.0,52.0,68.0,58.0,60.0,49.0,34.0,32.0,24.0,41.0,76.0,70.0,53.0
경기도 고양시,경기도,4,2,고양시,72.0,60.0,72.0,58.0,72.0,63.0,46.0,40.0,34.0,56.0,85.0,74.0,61.0
경기도 과천시,경기도,7,7,과천시,72.0,62.0,66.0,53.0,62.0,58.0,40.0,37.0,28.0,42.0,72.0,70.0,55.0
경기도 광명시,경기도,3,3,광명시,46.0,38.0,45.0,36.0,41.0,35.0,22.0,23.0,20.0,31.0,55.0,50.0,37.0
경기도 광주시,경기도,8,7,광주시,77.0,62.0,72.0,62.0,66.0,57.0,39.0,38.0,33.0,52.0,95.0,76.0,61.0
경기도 구리시,경기도,9,4,구리시,58.0,47.0,58.0,50.0,56.0,54.0,38.0,35.0,28.0,46.0,75.0,61.0,50.0
경기도 군포시,경기도,5,8,군포시,70.0,60.0,66.0,61.0,68.0,74.0,48.0,46.0,39.0,52.0,88.0,74.0,62.0
경기도 김포시,경기도,2,3,김포시,72.0,56.0,71.0,60.0,73.0,69.0,52.0,44.0,39.0,56.0,80.0,68.0,62.0
경기도 남양주시,경기도,8,3,남양주시,60.0,47.0,48.0,41.0,56.0,59.0,46.0,35.0,26.0,41.0,78.0,68.0,50.0
경기도 동두천시,경기도,7,2,동두천시,94.0,70.0,73.0,70.0,74.0,71.0,49.0,48.0,38.0,76.0,111.0,92.0,72.0
경기도 부천시,경기도,2,4,부천시,82.0,66.0,75.0,65.0,72.0,68.0,46.0,40.0,33.0,53.0,86.0,74.0,63.0
경기도 성남시,경기도,7,8,성남시,56.0,54.0,65.0,52.0,60.0,58.0,38.0,38.0,30.0,46.0,66.0,58.0,52.0
경기도 수원시,경기도,6,9,수원시,59.0,48.0,62.0,52.0,63.0,55.0,32.0,33.0,29.0,45.0,78.0,66.0,52.0
경기도 시흥시,경기도,3,5,시흥시,67.0,59.0,71.0,58.0,63.0,59.0,36.0,36.0,35.0,53.0,89.0,77.0,59.0
경기도 안산시,경기도,3,6,안산시,59.0,52.0,60.0,53.0,60.0,56.0,36.0,37.0,29.0,41.0,81.0,70.0,53.0
경기도 안성시,경기도,4,8,안성시,61.0,47.0,65.0,56.0,65.0,59.0,36.0,35.0,27.0,46.0,84.0,70.0,54.0
경기도 안양시,경기도,3,4,안양시,62.0,53.0,68.0,58.0,66.0,64.0,44.0,46.0,36.0,51.0,83.0,67.0,58.0
경기도 양주시,경기도,8,2,양주시,80.0,61.0,67.0,56.0,61.0,56.0,43.0,41.0,40.0,68.0,96.0,77.0,62.0
경기도 오산시,경기도,3,8,오산시,79.0,65.0,67.0,68.0,76.0,79.0,55.0,51.0,42.0,53.0,84.0,80.0,67.0
경기도 용인시,경기도,7,9,용인시,69.0,54.0,61.0,52.0,59.0,51.0,34.0,31.0,27.0,44.0,80.0,73.0,53.0
경기도 의왕시,경기도,6,8,의왕시,70.0,62.0,72.0,60.0,76.0,73.0,43.0,42.0,37.0,54.0,82.0,70.0,62.0
경기도 의정부시,경기도,7,3,의정부시,76.0,60.0,68.0,59.0,66.0,61.0,43.0,43.0,34.0,57.0,82.0,74.0,60.0
경기도 이천시,경기도,8,8,이천시,93.0,65.0,78.0,75.0,83.0,76.0,54.0,55.0,44.0,63.0,95.0,77.0,72.0
경기도 파주시,경기도,3,2,파주시,65.0,58.0,83.0,65.0,75.0,63.0,45.0,44.0,37.0,57.0,88.0,72.0,63.0
경기도 평택시,경기도,5,9,평택시,66.0,54.0,72.0,66.0,76.0,78.0,48.0,44.0,42.0,62.0,94.0,73.0,65.0
경기도 포천시,경기도,8,1,포천시,111.0,86.0,90.0,78.0,84.0,81.0,58.0,47.0,44.0,76.0,123.0,106.0,82.0
경기도 하남시,경기도,9,5,하남시,63.0,52.0,55.0,48.0,56.0,59.0,46.0,44.0,29.0,46.0,72.0,66.0,53.0
경기도 화성시,경기도,3,7,화성시,68.0,56.0,69.0,58.0,70.0,66.0,39.0,39.0,40.0,55.0,83.0,65.0,59.0
경상남도 김해시,경상남도,8,19,김해시,44.0,45.0,54.0,38.0,42.0,40.0,34.0,34.0,32.0,36.0,54.0,52.0,42.0
경상남도 양산시,경상남도,8,17,양산시,36.0,34.0,53.0,36.0,43.0,34.0,26.0,28.0,13.0,35.0,53.0,50.0,37.0
경상남도 진주시,경상남도,6,17,진주시,50.0,43.0,63.0,48.0,52.0,38.0,35.0,40.0,18.0,38.0,60.0,58.0,45.0
경상남도 창원시,경상남도,7,18,창원시,45.0,42.0,62.0,46.0,55.0,46.0,38.0,37.0,21.0,41.0,63.0,60.0,46.0
경상남도 하동군,경상남도,5,19,하동군,51.0,47.0,70.0,58.0,68.0,57.0,43.0,42.0,31.0,38.0,53.0,51.0,51.0
경상북도 경주시,경상북도,12,12,경주시,45.0,43.0,58.0,45.0,50.0,51.0,45.0,45.0,35.0,37.0,64.0,52.0,48.0
경상북도 구미시,경상북도,9,10,구미시,44.0,41.0,57.0,42.0,54.0,39.0,20.0,26.0,24.0,34.0,59.0,53.0,41.0
경상북도 김천시,경상북도,8,11,김천시,51.0,43.0,61.0,43.0,52.0,46.0,34.0,36.0,33.0,43.0,74.0,71.0,49.0
경상북도 안동시,경상북도,10,10,안동시,54.0,47.0,59.0,38.0,41.0,29.0,18.0,19.0,28.0,35.0,70.0,66.0,42.0
경상북도 영주시,경상북도,10,9,영주시,60.0,56.0,67.0,50.0,50.0,36.0,28.0,28.0,23.0,39.0,69.0,64.0,48.0
경상북도 포항시,경상북도,12,11,포항시,42.0,41.0,53.0,44.0,51.0,40.0,29.0,32.0,29.0,31.0,51.0,61.0,42.0
광주광역시 광산구,광주광역시,2,19,광산구,51.0,42.0,70.0,46.0,66.0,44.0,30.0,30.0,32.0,48.0,78.0,60.0,50.0
광주광역시 남구,광주광역시,2,21,남구,43.0,37.0,63.0,40.0,57.0,36.0,24.0,26.0,27.0,40.0,69.0,54.0,43.0
광주광역시 남구,광주광역시,9,14,남구,43.0,37.0,63.0,40.0,57.0,36.0,24.0,26.0,27.0,40.0,69.0,54.0,43.0
광주광역시 남구,광주광역시,11,19,남구,43.0,37.0,63.0,40.0,57.0,36.0,24.0,26.0,27.0,40.0,69.0,54.0,43.0
광주광역시 남구,광주광역시,12,15,남구,43.0,37.0,63.0,40.0,57.0,36.0,24.0,26.0,27.0,40.0,69.0,54.0,43.0
광주광역시 남구,광주광역시,2,7,남구,43.0,37.0,63.0,40.0,57.0,36.0,24.0,26.0,27.0,40.0,69.0,54.0,43.0
광주광역시 동구,광주광역시,3,20,동구,51.0,43.0,76.0,46.0,68.0,40.0,29.0,30.0,30.0,42.0,75.0,59.0,49.0
광주광역시 동구,광주광역시,11,13,동구,51.0,43.0,76.0,46.0,68.0,40.0,29.0,30.0,30.0,42.0,75.0,59.0,49.0
광주광역시 동구,광주광역시,5,13,동구,51.0,43.0,76.0,46.0,68.0,40.0,29.0,30.0,30.0,42.0,75.0,59.0,49.0
광주광역시 동구,광주광역시,10,17,동구,51.0,43.0,76.0,46.0,68.0,40.0,29.0,30.0,30.0,42.0,75.0,59.0,49.0
광주광역시 동구,광주광역시,12,14,동구,51.0,43.0,76.0,46.0,68.0,40.0,29.0,30.0,30.0,42.0,75.0,59.0,49.0
광주광역시 동구,광주광역시,1,5,동구,51.0,43.0,76.0,46.0,68.0,40.0,29.0,30.0,30.0,42.0,75.0,59.0,49.0
광주광역시 북구,광주광역시,3,19,북구,44.0,36.0,62.0,40.0,62.0,40.0,26.0,26.0,29.0,42.0,68.0,52.0,44.0
광주광역시 북구,광주광역시,9,13,북구,44.0,36.0,62.0,40.0,62.0,40.0,26.0,26.0,29.0,42.0,68.0,52.0,44.0
광주광역시 북구,광주광역시,9,16,북구,44.0,36.0,62.0,40.0,62.0,40.0,26.0,26.0,29.0,42.0,68.0,52.0,44.0
광주광역시 북구,광주광역시,12,13,북구,44.0,36.0,62.0,40.0,62.0,40.0,26.0,26.0,29.0,42.0,68.0,52.0,44.0
광주광역시 서구,광주광역시,2,20,서구,39.0,33.0,55.0,35.0,52.0,32.0,22.0,24.0,24.0,34.0,59.0,44.0,38.0
광주광역시 서구,광주광역시,8,14,서구,39.0,33.0,55.0,35.0,52.0,32.0,22.0,24.0,24.0,34.0,59.0,44.0,38.0
광주광역시 서구,광주광역시,4,14,서구,39.0,33.0,55.0,35.0,52.0,32.0,22.0,24.0,24.0,34.0,59.0,44.0,38.0
광주광역시 서구,광주광역시,9,18,서구,39.0,33.0,55.0,35.0,52.0,32.0,22.0,24.0,24.0,34.0,59.0,44.0,38.0
광주광역시 서구,광주광역시,1,4,서구,39.0,33.0,55.0,35.0,52.0,32.0,22.0,24.0,24.0,34.0,59.0,44.0,38.0
대구광역시 남구,대구광역시,2,21,남구,56.0,43.0,58.0,40.0,44.0,32.0,29.0,40.0,34.0,31.0,52.0,52.0,43.0
대구광역시 남구,대구광역시,9,14,남구,56.0,43.0,58.0,40.0,44.0,32.0,29.0,40.0,34.0,31.0,52.0,52.0,43.0
대구광역시 남구,대구광역시,11,19,남구,56.0,43.0,58.0,40.0,44.0,32.0,29.0,40.0,34.0,31.0,52.0,52.0,43.0
대구광역시 남구,대구광역시,12,15,남구,56.0,43.0,58.0,40.0,44.0,32.0,29.0,40.0,34.0,31.0,52.0,52.0,43.0
대구광역시 남구,대구광역시,2,7,남구,56.0,43.0,58.0,40.0,44.0,32.0,29.0,40.0,34.0,31.0,52.0,52.0,43.0
대구광역시 달서구,대구광역시,8,15,달서구,57.0,52.0,68.0,54.0,58.0,49.0,36.0,37.0,37.0,44.0,69.0,65.0,52.0
대구광역시 달성군,대구광역시,9,15,달성군,38.0,37.0,66.0,36.0,51.0,41.0,28.0,29.0,28.0,40.0,60.0,52.0,42.0
대구광역시 동구,대구광역시,3,20,동구,57.0,50.0,70.0,47.0,52.0,45.0,35.0,38.0,34.0,42.0,72.0,76.0,52.0
대구광역시 동구,대구광역시,11,13,동구,57.0,50.0,70.0,47.0,52.0,45.0,35.0,38.0,34.0,42.0,72.0,76.0,52.0
대구광역시 동구,대구광역시,5,13,동구,57.0,50.0,70.0,47.0,52.0,45.0,35.0,38.0,34.0,42.0,72.0,76.0,52.0
대구광역시 동구,대구광역시,10,17,동구,57.0,50.0,70.0,47.0,52.0,45.0,35.0,38.0,34.0,42.0,72.0,76.0,52.0
대구광역시 동구,대구광역시,12,14,동구,57.0,50.0,70.0,47.0,52.0,45.0,35.0,38.0,34.0,42.0,72.0,76.0,52.0
대구광역시 동구,대구광역시,1,5,동구,57.0,50.0,70.0,47.0,52.0,45.0,35.0,38.0,34.0,42.0,72.0,76.0,52.0
대구광역시 북구,대구광역시,3,19,북구,60.0,54.0,80.0,54.0,64.0,56.0,40.0,40.0,38.0,46.0,74.0,70.0,56.0
대구광역시 북구,대구광역시,9,13,북구,60.0,54.0,80.0,54.0,64.0,56.0,40.0,40.0,38.0,46.0,74.0,70.0,56.0
