서울 강남구,서울 강동구,서울 강북구,서울 강서구,서울 관악구,서울 광진구,서울 구로구,서울 금천구,서울 노원구,서울 도봉구,서울 동대문구,서울 동작구,서울 마포구,서울 서대문구,서울 서초구,서울 성동구,서울 성북구,서울 송파구,서울 양천구,서울 영등포구,서울 용산구,서울 은평구,서울 종로구,서울 중구,서울 중랑구,일시
35,34,41,38,35,38,35,33,39,39,44,35,34,38,30,39,43,39,31,34,38,36,40,29,37,2022-06-05 00:01:00
35,37,39,37,35,35,35,30,37,37,40,34,36,30,33,36,44,37,32,32,37,34,33,28,36,2022-06-05 00:02:00
33,31,36,36,32,33,34,29,37,37,39,36,36,36,30,38,39,37,29,31,33,29,29,30,37,2022-06-05 00:03:00
31,30,35,36,36,32,34,28,33,34,35,32,32,28,30,34,31,34,34,33,34,34,30,30,33,2022-06-05 00:04:00
31,26,32,35,31,29,31,25,32,27,35,32,30,28,31,33,34,33,31,30,31,27,28,26,31,2022-06-05 00:05:00
28,26,33,32,28,26,33,23,32,31,32,30,27,23,23,31,34,29,28,29,28,29,26,22,32,2022-06-05 00:06:00
27,24,30,26,24,26,28,19,29,23,29,25,25,22,20,30,26,27,22,25,27,23,23,20,25,2022-06-05 00:07:00
22,22,29,24,23,22,20,19,28,25,26,23,23,17,15,26,27,25,23,20,25,23,20,20,26,2022-06-05 00:08:00
23,23,28,25,23,23,22,20,22,26,24,25,23,22,18,23,23,26,19,20,24,21,19,18,21,2022-06-05 00:09:00
21,20,26,24,23,22,23,16,24,24,25,25,23,26,24,24,26,24,23,23,26,21,20,22,21,2022-06-05 00:10:00
23,24,25,23,25,22,38,18,24,24,23,25,31,26,22,27,25,26,23,25,31,23,22,21,20,2022-06-05 00:11:00
21,22,29,24,28,27,34,21,22,27,25,27,33,26,26,26,27,30,25,26,28,24,23,23,25,2022-06-05 00:12:00
25,23,31,28,32,25,48,25,27,29,29,26,22,18,32,26,31,26,28,29,22,28,23,25,28,2022-06-05 00:13:00
27,27,33,35,26,25,34,25,27,25,26,26,23,25,28,26,29,24,26,24,26,30,24,25,28,2022-06-05 00:14:00
27,21,26,30,25,21,31,21,24,18,25,22,25,26,21,25,23,23,25,24,20,28,22,23,24,2022-06-05 00:15:00
21,20,22,22,23,20,32,18,24,18,22,21,21,18,33,23,22,21,20,22,23,17,18,18,20,2022-06-05 00:16:00
19,17,23,23,21,17,25,14,18,22,19,16,20,18,16,18,19,21,18,19,19,17,17,17,18,2022-06-05 00:17:00
18,16,23,18,22,17,25,16,19,17,18,17,21,17,16,21,18,21,17,19,19,20,17,16,18,2022-06-05 00:18:00
20,17,22,17,18,19,16,18,17,21,19,16,21,20,15,19,21,19,19,18,22,16,17,17,18,2022-06-05 00:19:00
17,15,20,20,22,17,16,15,21,17,18,19,20,24,17,19,19,19,19,19,15,16,18,18,22,2022-06-05 00:20:00
16,15,19,19,19,19,15,15,19,11,18,18,17,24,14,20,19,20,20,22,16,12,18,15,18,2022-06-05 00:21:00
17,16,18,20,16,18,17,12,19,-,21,19,14,15,-,19,19,16,15,19,15,12,17,14,18,2022-06-05 00:22:00
17,17,20,17,19,17,17,15,20,17,18,18,19,12,11,18,18,16,14,17,20,14,13,15,18,2022-06-05 00:23:00
20,19,20,19,21,18,18,14,18,16,20,21,21,14,14,19,11,20,18,19,18,12,17,15,20,2022-06-05 00:24:00
